record_id,source,source_id,title,year,doi,url,removal_type,removal_reason,review_group_id,retained_record_id
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10976019,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10976019,3GC: A Deadline-Aware and Energy-Efficient Resource Allocation Scheme for Serverless Edge Computing,2025,10.1109/ccnc54725.2025.10976019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10976019,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0004,Scopus::2-s2.0-105005140255
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8769500,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8769500,A Commodity SBC-Edge Cluster for Smart Cities,2019,10.1109/cais.2019.8769500,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8769500,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0005,Scopus::2-s2.0-85073891891
arXiv::1902.06661,arXiv,1902.06661,A Commodity SBC-Edge Cluster for Smart Cities,2019,,https://arxiv.org/abs/1902.06661,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0005,Scopus::2-s2.0-85073891891
ACM Digital Library::10.1145/3785520.3785532,ACM Digital Library,10.1145/3785520.3785532,A Kubernetes custom scheduler based on reinforcement learning for compute‑intensive pods,2026,10.1145/3785520.3785532,https://doi.org/10.1145/3785520.3785532,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0006,Scopus::2-s2.0-105031564490
arXiv::2601.13579,arXiv,2601.13579,A Kubernetes custom scheduler based on reinforcement learning for compute-intensive pods,2026,,https://arxiv.org/abs/2601.13579,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0006,Scopus::2-s2.0-105031564490
DBLP::journals/tnsm/EddineOBOK26,DBLP,journals/tnsm/EddineOBOK26,A Multi-Objective Framework for Power-Aware Scheduling in Kubernetes.,2026,10.1109/tnsm.2025.3630045,https://dblp.org/rec/journals/tnsm/EddineOBOK26,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0007,Scopus::2-s2.0-105021112387
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11231033,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11231033,A Multi-Objective Framework for Power-Aware Scheduling in Kubernetes,2026,10.1109/tnsm.2025.3630045,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11231033,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0007,Scopus::2-s2.0-105021112387
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10769448,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10769448,AI-Native Multi-Access Future Networks—The REASON Architecture,2024,10.1109/access.2024.3507186,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10769448,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0008,Scopus::2-s2.0-85210970336
arXiv::2411.06870,arXiv,2411.06870,AI-Native Multi-Access Future Networks -- The REASON Architecture,2024,,https://arxiv.org/abs/2411.06870,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0008,Scopus::2-s2.0-85210970336
DBLP::journals/access/ShahinMKPKBS26,DBLP,journals/access/ShahinMKPKBS26,CARGO: Compliant Analytics for Resilient Governance and Orchestration of Maritime Emissions in an Explainable Serverless Framework.,2026,10.1109/access.2026.3694764,https://dblp.org/rec/journals/access/ShahinMKPKBS26,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0009,IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11526795
Scopus::2-s2.0-105039571888,Scopus,2-s2.0-105039571888,CARGO: Compliant Analytics for Resilient Governance and Orchestration of Maritime Emissions in an Explainable Serverless Framework,2026,10.1109/access.2026.3694764,https://www.scopus.com/pages/publications/105039571888?origin=resultslist,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0009,IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11526795
DBLP::conf/green/QiMHMBP24,DBLP,conf/green/QiMHMBP24,CASA: A Framework for SLO- and Carbon-Aware Autoscaling and Scheduling in Serverless Cloud Computing.,2024,10.1109/igsc64514.2024.00010,https://dblp.org/rec/conf/green/QiMHMBP24,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0010,Scopus::2-s2.0-85213365355
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765835,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765835,CASA: A Framework for SLO- and Carbon-Aware Autoscaling and Scheduling in Serverless Cloud Computing,2024,10.1109/igsc64514.2024.00010,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765835,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0010,Scopus::2-s2.0-85213365355
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9448450,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9448450,COSCO: Container Orchestration Using Co-Simulation and Gradient Based Optimization for Fog Computing Environments,2022,10.1109/tpds.2021.3087349,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9448450,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0011,Scopus::2-s2.0-85109149036
arXiv::2104.14392,arXiv,2104.14392,COSCO: Container Orchestration using Co-Simulation and Gradient Based Optimization for Fog Computing Environments,2021,10.1109/tpds.2021.3087349,https://arxiv.org/abs/2104.14392,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0011,Scopus::2-s2.0-85109149036
DBLP::conf/pimrc/ChengXXZLS23,DBLP,conf/pimrc/ChengXXZLS23,CSFRL: A Reinforcement Learning Technology Enabled Computing Power Scheduling Framework Based on Kubernetes.,2023,10.1109/pimrc56721.2023.10294003,https://dblp.org/rec/conf/pimrc/ChengXXZLS23,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0012,Scopus::2-s2.0-85178263793
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10294003,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10294003,CSFRL: A Reinforcement Learning Technology Enabled Computing Power Scheduling Framework Based on Kubernetes,2023,10.1109/pimrc56721.2023.10294003,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10294003,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0012,Scopus::2-s2.0-85178263793
ACM Digital Library::10.1145/3718958.3750478,ACM Digital Library,10.1145/3718958.3750478,Carbon- and Precedence-Aware Scheduling for Data Processing Clusters,2025,10.1145/3718958.3750478,https://doi.org/10.1145/3718958.3750478,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0013,Scopus::2-s2.0-105016258877
arXiv::2502.09717,arXiv,2502.09717,Carbon- and Precedence-Aware Scheduling for Data Processing Clusters,2025,,https://arxiv.org/abs/2502.09717,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0013,Scopus::2-s2.0-105016258877
ACM Digital Library::10.1145/3626788,ACM Digital Library,10.1145/3626788,CarbonScaler: Leveraging Cloud Workload Elasticity for Optimizing Carbon-Efficiency,2023,10.1145/3626788,https://doi.org/10.1145/3626788,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0014,Scopus::2-s2.0-85178142603
arXiv::2302.08681,arXiv,2302.08681,CarbonScaler: Leveraging Cloud Workload Elasticity for Optimizing Carbon-Efficiency,2023,10.1145/3626788,https://arxiv.org/abs/2302.08681,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0014,Scopus::2-s2.0-85178142603
DBLP::conf/mascots/BahreiniTT24,DBLP,conf/mascots/BahreiniTT24,Caspian: A Carbon-aware Workload Scheduler in Multi-Cluster Kubernetes Environments.,2024,10.1109/mascots64422.2024.10786568,https://dblp.org/rec/conf/mascots/BahreiniTT24,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0015,Scopus::2-s2.0-85215082174
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786568,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786568,Caspian: A Carbon-aware Workload Scheduler in Multi-Cluster Kubernetes Environments,2024,10.1109/mascots64422.2024.10786568,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786568,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0015,Scopus::2-s2.0-85215082174
ACM Digital Library::10.1145/3503047.3503088,ACM Digital Library,10.1145/3503047.3503088,Cloud-Based Smart Energy Framework for Accelerated Data Analytics with Parallel Computing of Orchestrated Containers: Study Case of CU-BEMS,2022,10.1145/3503047.3503088,https://doi.org/10.1145/3503047.3503088,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0016,Scopus::2-s2.0-85123763867
DBLP::conf/aiss/SaengkaenpetchA21,DBLP,conf/aiss/SaengkaenpetchA21,Cloud-Based Smart Energy Framework for Accelerated Data Analytics with Parallel Computing of Orchestrated Containers: Study Case of CU-BEMS.,2021,10.1145/3503047.3503088,https://dblp.org/rec/conf/aiss/SaengkaenpetchA21,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0016,Scopus::2-s2.0-85123763867
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11179878,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11179878,Container-level Energy Observability in Kubernetes Clusters,2025,10.1109/ict4s68164.2025.00016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11179878,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0017,Scopus::2-s2.0-105018906302
arXiv::2504.10702,arXiv,2504.10702,Container-level Energy Observability in Kubernetes Clusters,2025,,https://arxiv.org/abs/2504.10702,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0017,Scopus::2-s2.0-105018906302
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10773664,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10773664,Dual-Use Commercial and Military Communications on a Single Platform using RAN Domain Specific Language,2024,10.1109/milcom61039.2024.10773664,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10773664,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0018,Scopus::2-s2.0-85214574788
arXiv::2412.00983,arXiv,2412.00983,Dual-Use Commercial and Military Communications on a Single Platform using RAN Domain Specific Language,2024,,https://arxiv.org/abs/2412.00983,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0018,Scopus::2-s2.0-85214574788
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929270,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929270,Dynamic Scheduling Strategies for Resource Optimization in Computing Environments,2024,10.1109/eiecc64539.2024.10929270,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929270,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0019,Scopus::2-s2.0-105002332842
arXiv::2412.17301,arXiv,2412.17301,Dynamic Scheduling Strategies for Resource Optimization in Computing Environments,2024,,https://arxiv.org/abs/2412.17301,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0019,Scopus::2-s2.0-105002332842
ACM Digital Library::10.1145/3802513.3803486,ACM Digital Library,10.1145/3802513.3803486,EcoKube: Simulating Carbon-Aware Scheduling Policies in Heterogeneous Edge-Cloud Environments,2026,10.1145/3802513.3803486,https://doi.org/10.1145/3802513.3803486,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0020,Scopus::2-s2.0-105039306545
arXiv::2607.09318,arXiv,2607.09318,EcoKube: Simulating Carbon-Aware Scheduling Policies in Heterogeneous Edge-Cloud Environments,2026,10.1145/3802513.3803486,https://arxiv.org/abs/2607.09318,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0020,Scopus::2-s2.0-105039306545
DBLP::journals/iotj/WijayaHWY26,DBLP,journals/iotj/WijayaHWY26,Edge-VisForeCast: Energy-Efficient Predictive Autoscaling for Containerized Crowd Analytics on Constrained IoT Edge Clusters.,2026,10.1109/jiot.2026.3702943,https://dblp.org/rec/journals/iotj/WijayaHWY26,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0021,Scopus::2-s2.0-105041840928
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11560892,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11560892,Edge-VisForeCast: Energy-Efficient Predictive Autoscaling for Containerized Crowd Analytics on Constrained IoT Edge Clusters,2026,10.1109/jiot.2026.3702943,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11560892,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0021,Scopus::2-s2.0-105041840928
DBLP::conf/icc/EddineBOOK25,DBLP,conf/icc/EddineBOOK25,Enabling Power-Awareness for Kubernetes Scheduling Through Multi-Criteria Optimization.,2025,10.1109/icc52391.2025.11160865,https://dblp.org/rec/conf/icc/EddineBOOK25,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0022,Scopus::2-s2.0-105018463799
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11160865,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11160865,Enabling Power-Awareness for Kubernetes Scheduling Through Multi-Criteria Optimization,2025,10.1109/icc52391.2025.11160865,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11160865,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0022,Scopus::2-s2.0-105018463799
DBLP::conf/icin/Lemoine22,DBLP,conf/icin/Lemoine22,Energy Efficiency of N: 1 Protection Setups with Kubernetes Horizontal Pod Autoscaler.,2022,10.1109/icin53892.2022.9758129,https://dblp.org/rec/conf/icin/Lemoine22,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0023,Scopus::2-s2.0-85129572202
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9758129,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9758129,Energy Efficiency of N:1 Protection Setups with Kubernetes Horizontal Pod Autoscaler,2022,10.1109/icin53892.2022.9758129,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9758129,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0023,Scopus::2-s2.0-85129572202
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10939015,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10939015,Energy-Aware Joint Orchestration of 5G and Robots: Experimental Testbed and Field Validation,2025,10.1109/tnsm.2025.3555126,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10939015,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0024,Scopus::2-s2.0-105001295979
arXiv::2503.19613,arXiv,2503.19613,Energy-aware Joint Orchestration of 5G and Robots: Experimental Testbed and Field Validation,2025,10.1109/tnsm.2025.3555126,https://arxiv.org/abs/2503.19613,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0024,Scopus::2-s2.0-105001295979
ACM Digital Library::10.1145/3773274.3774276,ACM Digital Library,10.1145/3773274.3774276,Energy-Aware Latency Optimization for Scheduling Serverless Workload in Edge Computing Environment,2026,10.1145/3773274.3774276,https://doi.org/10.1145/3773274.3774276,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0025,Scopus::2-s2.0-105027150878
DBLP::conf/ucc/SubediKJK25,DBLP,conf/ucc/SubediKJK25,Energy-Aware Latency Optimization for Scheduling Serverless Workload in Edge Computing Environment.,2025,10.1145/3773274.3774276,https://dblp.org/rec/conf/ucc/SubediKJK25,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0025,Scopus::2-s2.0-105027150878
DBLP::conf/ccgrid/AslanpourTC022,DBLP,conf/ccgrid/AslanpourTC022,Energy-Aware Resource Scheduling for Serverless Edge Computing.,2022,10.1109/ccgrid54584.2022.00028,https://dblp.org/rec/conf/ccgrid/AslanpourTC022,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0026,Scopus::2-s2.0-85135757920
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826101,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826101,Energy-Aware Resource Scheduling for Serverless Edge Computing,2022,10.1109/ccgrid54584.2022.00028,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826101,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0026,Scopus::2-s2.0-85135757920
ACM Digital Library::10.1145/3726854.3727284,ACM Digital Library,10.1145/3726854.3727284,Exploiting Kubernetes Autoscaling for Economic Denial of Sustainability,2025,10.1145/3726854.3727284,https://doi.org/10.1145/3726854.3727284,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0027,Scopus::2-s2.0-105010298912
DBLP::conf/sigmetrics/ChamberlainZZLS25,DBLP,conf/sigmetrics/ChamberlainZZLS25,Exploiting Kubernetes Autoscaling for Economic Denial of Sustainability.,2025,10.1145/3726854.3727284,https://dblp.org/rec/conf/sigmetrics/ChamberlainZZLS25,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0027,Scopus::2-s2.0-105010298912
ACM Digital Library::10.1145/3727114,ACM Digital Library,10.1145/3727114,Exploiting Kubernetes Autoscaling for Economic Denial of Sustainability,2025,10.1145/3727114,https://doi.org/10.1145/3727114,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0028,Scopus::2-s2.0-105007159769
DBLP::journals/pomacs/ChamberlainZZLS25,DBLP,journals/pomacs/ChamberlainZZLS25,Exploiting Kubernetes Autoscaling for Economic Denial of Sustainability.,2025,10.1145/3727114,https://dblp.org/rec/journals/pomacs/ChamberlainZZLS25,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0028,Scopus::2-s2.0-105007159769
ACM Digital Library::10.1145/3672608.3707941,ACM Digital Library,10.1145/3672608.3707941,FOA-Energy: A Multi-objective Energy-Aware Scheduling Policy for Serverless-based Edge-Cloud Continuum,2025,10.1145/3672608.3707941,https://doi.org/10.1145/3672608.3707941,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0029,Scopus::2-s2.0-105006439356
DBLP::conf/sac/SilvaGMMT25,DBLP,conf/sac/SilvaGMMT25,FOA-Energy: A Multi-objective Energy-Aware Scheduling Policy for Serverless-based Edge-Cloud Continuum.,2025,10.1145/3672608.3707941,https://dblp.org/rec/conf/sac/SilvaGMMT25,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0029,Scopus::2-s2.0-105006439356
DBLP::journals/tsc/AslanpourTCC24,DBLP,journals/tsc/AslanpourTCC24,Faashouse: Sustainable Serverless Edge Computing Through Energy-Aware Resource Scheduling.,2024,10.1109/tsc.2024.3354296,https://dblp.org/rec/journals/tsc/AslanpourTCC24,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0030,Scopus::2-s2.0-85182925184
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10400820,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10400820,Faashouse: Sustainable Serverless Edge Computing Through Energy-Aware Resource Scheduling,2024,10.1109/tsc.2024.3354296,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10400820,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0030,Scopus::2-s2.0-85182925184
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10794241,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10794241,Green Resource Allocation in Cloud-Native O-RAN Enabled Small Cell Networks,2024,10.1109/iccspa61559.2024.10794241,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10794241,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0031,Scopus::2-s2.0-85212465120
arXiv::2407.11563,arXiv,2407.11563,Green Resource Allocation in Cloud-Native O-RAN Enabled Small Cell Networks,2024,,https://arxiv.org/abs/2407.11563,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0031,Scopus::2-s2.0-85212465120
DBLP::journals/access/MRCGHM25,DBLP,journals/access/MRCGHM25,Green Video Transcoding in Cloud Environments Using Kubernetes: A Framework With Dynamic Renewable Energy Allocation and Priority Scheduling.,2025,10.1109/access.2025.3585615,https://dblp.org/rec/journals/access/MRCGHM25,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0032,Scopus::2-s2.0-105010057693
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11071283,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11071283,Green Video Transcoding in Cloud Environments Using Kubernetes: A Framework With Dynamic Renewable Energy Allocation and Priority Scheduling,2025,10.1109/access.2025.3585615,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11071283,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0032,Scopus::2-s2.0-105010057693
DBLP::conf/cluster/SunXT25,DBLP,conf/cluster/SunXT25,GreenK8s: Green-aware Scheduling for Sustainable Kubernetes Cluster Management.,2025,10.1109/cluster59342.2025.11186459,https://dblp.org/rec/conf/cluster/SunXT25,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0033,Scopus::2-s2.0-105019793817
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11186459,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11186459,GreenK8s: Green-aware Scheduling for Sustainable Kubernetes Cluster Management,2025,10.1109/cluster59342.2025.11186459,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11186459,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0033,Scopus::2-s2.0-105019793817
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8671554,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8671554,Heats: Heterogeneity-and Energy-Aware Task-Based Scheduling,2019,10.1109/empdp.2019.8671554,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8671554,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0034,Scopus::2-s2.0-85063908993
arXiv::1906.11321,arXiv,1906.11321,HEATS: Heterogeneity- and Energy-Aware Task-based Scheduling,2019,,https://arxiv.org/abs/1906.11321,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0034,Scopus::2-s2.0-85063908993
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11251036,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11251036,Incremental DRL-Based Resource Management for Dynamic Network Slicing in an Urban-Wide Testbed,2026,10.1109/tnsm.2025.3633927,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11251036,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0035,Scopus::2-s2.0-105022256092
arXiv::2310.17523,arXiv,2310.17523,Incremental DRL-Based Resource Management for Dynamic Network Slicing in an Urban-Wide Testbed,2025,10.1109/tnsm.2025.3633927,https://arxiv.org/abs/2310.17523,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0035,Scopus::2-s2.0-105022256092
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10273417,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10273417,Intelligence-Endogenous Management Platform for Computing and Network Convergence,2024,10.1109/mnet.2023.3321529,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10273417,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0036,Scopus::2-s2.0-85174814137
arXiv::2308.03450,arXiv,2308.03450,Intelligence-Endogenous Management Platform for Computing and Network Convergence,2023,,https://arxiv.org/abs/2308.03450,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0036,Scopus::2-s2.0-85174814137
