screening_id,title,year,venue,ai_suggested_decision,ai_primary_code,ai_rationale,ai_fetched_source,ai_confidence
SCR-0571,An autonomous energy-aware resource scheduling mechanism in serverless edge computing.,2026,Artif. Intell. Rev.,include for full text,,"Fetched abstract confirms primary research: AEASM, a MAPE-K based energy-aware scheduler for serverless edge computing evaluated on four workload models, with energy consumption as an explicit objective. Serverless edge counts as a cloud-native platform, though containers are not named in the abstract, so core fit needs full-text confirmation.",True,medium
SCR-0591,An Energy and Performance Aware Consolidation Technique for Containerized Datacenters.,2021,IEEE Trans. Cloud Comput.,include for full text,,"Fetched abstract confirms primary research on energy and performance aware container consolidation and migration in datacenters, evaluated on Google workload traces, published in IEEE Transactions on Cloud Computing. Container platform, consolidation and migration decisions, and energy objective are all explicit.",True,high
SCR-0592,An Energy-Aware Dynamic Resource Management Technique Using Deep Q-Learning Algorithm and Joint VM and Container Consolidation Approach for Green Computing in Cloud Data Centers.,2020,DCAI,uncertain,,"The fetched Springer page carries an abstract that meets the container consolidation, scheduling decision, and green computing criteria, but the page states the chapter has been retracted. Retraction is not covered by the locked title-abstract codes (the closest full-text code is F8), so the human reviewer must decide and should check whether a non-retracted formal version of this work exists.",True,medium
SCR-0593,An energy-conscious scheduling framework for serverless edge computing in IoT.,2025,J. Cloud Comput.,include for full text,,"Fetched abstract (OpenAlex) describes an energy-conscious scheduler selection framework for serverless edge computing that reports an average 1.54% energy reduction and 6.4% availability gain. Serverless platform plus scheduling plus an energy objective makes it a plausible core candidate, but full text must verify a real container or cloud-native orchestration layer rather than only IoT node residual-battery management.",True,medium
SCR-0594,An Energy-Efficient Scheduling Method for Real-Time Multi-workflow in Container Cloud.,2023,COCOA,include for full text,,"Fetched Springer abstract confirms primary research: the RMES heuristic schedules real-time multi-workflows in a container cloud to minimize total energy consumption, with re-scheduling and container-machine affinity. Title shows a container platform, a scheduling decision, and an energy objective, and the export marks this COCOA 2023 paper (LNCS 14461) as a workshop paper, so verify and label the venue type if included.",True,high
SCR-0760,Automated rail-water intermodal transport container terminal handling equipment cooperative scheduling based on bidirectional hybrid flow-shop scheduling problem.,2023,Comput. Ind. Eng.,exclude,E1,"This concerns physical shipping containers at a rail-water intermodal terminal (handling equipment scheduling), a non-software use of the word container. E1 by the locked rule on shipping container terminals.",False,high
SCR-0825,Berth allocation and quay crane assignment in a container terminal for the trade-off between time-saving and energy-saving.,2016,Adv. Eng. Informatics,exclude,E1,"Berth allocation and quay crane assignment concern a maritime shipping container terminal, a non-software use of the word container. No software container or cloud-native orchestration relation exists.",False,high
SCR-0826,Berth and quay cranes allocation problem with on-shore power supply assignment in container terminals.,2024,Comput. Ind. Eng.,exclude,E1,Berth and quay crane allocation with on-shore power supply concerns seaport shipping container terminals. The locked rules assign non-software uses of the word container to E1.,False,high
SCR-0835,Bibliography,2017,Frontiers of Multimedia Research,exclude,E1,"This record is the back-matter bibliography section of the book Frontiers of Multimedia Research, not a research paper. It has no relation to containers, orchestration, or sustainability, and is also non-primary content.",False,high
SCR-0868,Bridging Local Cyberinfrastructure and XSEDE with CyberGIS-Jupyter,2019,Practice and Experience in Advanced Research Computing 2019: Rise of the Machines (Learning),exclude,E3,"The fetch returned no usable abstract (Semantic Scholar gave author affiliations only), but the title and PEARC 2019 venue show a cyberinfrastructure integration paper (CyberGIS-Jupyter bridging local resources and XSEDE) with no sustainability objective, signal, constraint, or outcome. The title carries no sustainability term, so it cannot be a new core candidate under the strict title rule.",True,medium
SCR-1033,Cloud gaming,2017,Frontiers of Multimedia Research,exclude,E1,"A cloud gaming chapter in the ACM book Frontiers of Multimedia Research, with no software-container or orchestration relation and no sustainability signal in the title. Also unlikely to be primary research given the book-chapter format, but E1 is the primary gate.",False,high
SCR-1107,Collaborative scheduling of handling equipment in automated container terminals with limited AGV-mates considering energy consumption.,2025,Adv. Eng. Informatics,exclude,E1,Scheduling of AGV handling equipment in automated maritime container terminals is a non-software use of the word container. No software container or cloud-native orchestration relation exists.,False,high
SCR-1108,Collaborative Scheduling of Port Integrated Energy and Container Logistics Considering Electric and Hydrogen-Powered Transport.,2023,IEEE Trans. Smart Grid,exclude,E1,"Collaborative scheduling of port energy and container logistics with electric and hydrogen transport is a seaport shipping setting, not software containers. E1 under the locked rules despite the energy theme.",False,high
SCR-1121,Comparative experimental analysis of the quality-of-service and energy-efficiency of VMs and containers' consolidation for cloud applications.,2017,SoftCOM,include for full text,,"Fetched abstract (OpenAlex) confirms a primary experimental study comparing container versus VM consolidation effects on energy efficiency and QoS in cloud data centers. It meets the title rule (containers, consolidation decision, energy efficiency), though at full text the reviewer should judge whether a measurement study fits the intervention-centered core or lands in F7 as supporting evidence.",True,medium
SCR-1141,Computer Science Education in the Philippines,2024,ACM Inroads,exclude,E1,"The title shows a computer science education article in ACM Inroads with no container or cloud-native orchestration relation. Decidable from the title alone, no fetch needed.",False,high
SCR-1175,Container-based fog computing architecture and energy-balancing scheduling algorithm for energy IoT.,2019,Future Gener. Comput. Syst.,include for full text,,"Fetched abstract confirms a container-based multi-cloud to multi-fog architecture with a real-time task scheduling algorithm whose objective is energy balancing and prolonged WSN lifetime. All three core criteria are present, but the energy objective targets terminal-device batteries rather than orchestration-layer energy, so core versus supporting placement needs full text.",True,medium
SCR-1180,Container Migration Mechanism for Load Balancing in Edge Network Under Power Internet of Things.,2020,IEEE Access,exclude,E3,"Fetched abstract shows container migration in edge networks optimized for load balancing and migration cost, where Power Internet of Things is only the application domain. No energy, carbon, or other sustainability objective, constraint, or outcome is stated, so the reviewer could at most keep it as E7 background on migration cost modeling.",True,high
SCR-1343,Deep learning for video classification and captioning,2017,Frontiers of Multimedia Research,exclude,E1,"A book chapter on deep learning for video classification and captioning has no container, scheduling, or sustainability relation. It also appears to be non-primary survey material (secondary signal E4), but E1 is the primary gate.",False,high
SCR-1455,Designing interconnection networks for multi-level packaging,1993,Proceedings of the 1993 ACM/IEEE Conference on Supercomputing,exclude,E1,"This 1993 Supercomputing paper concerns hardware interconnection network design for multi-level packaging. The title shows no software container, no cloud-native orchestration, and no sustainability objective.",False,high
SCR-1534,DockerCap: A Software-Level Power Capping Orchestrator for Docker Containers.,2016,CSE/EUC/DCABES,include for full text,,"Fetched abstract (OpenAlex) confirms DockerCap is primary research: a software-level power capping orchestrator that manages per-container resources at runtime in an observe-decide-act loop under SLA constraints, compared against Intel RAPL. Title shows Docker containers, an orchestration decision, and a power objective, and the export marks this 2016 IEEE CSE/EUC/DCABES paper as a workshop paper, so label it accordingly.",True,high
SCR-1572,Dynamic Thermal-Aware Scheduling Using Physics-Informed POD-Galerkin Thermal Simulation Model for Multi-Core Processors : Invited Paper.,2024,IGSC,exclude,E1,"Thermal-aware scheduling for multi-core processors using a POD-Galerkin thermal model, an invited IGSC paper with no software-container or cloud-native orchestration relation in the title. The reviewer may consider E7 instead if device-level thermal scheduling is wanted as background evidence.",False,medium
SCR-1600,EcoLife: Carbon-Aware Serverless Function Scheduling for Sustainable Computing.,2024,CoRR,include for full text,,"Fetched arXiv abstract confirms EcoLife is a carbon-aware serverless function scheduler co-optimizing carbon footprint and performance, a clear CORE candidate in a cloud-native platform. A formal version exists (DOI 10.1109/sc41406.2024.00018 with a DBLP SC 2024 proceedings entry), so per the rules the formal SC 2024 version should be used rather than the arXiv preprint.",True,high
SCR-1635,Efficiency and energy consumption of the automated container yard with twin rail-mounted gantry cranes considering crane scheduling strategies and handshake area designs.,2024,Simul. Model. Pract. Theory,exclude,E1,"An automated container yard with twin rail-mounted gantry cranes is a seaport shipping container setting, so E1 applies despite the energy consumption focus in the title.",False,high
SCR-1715,Encrypted domain multimedia content analysis,2017,Frontiers of Multimedia Research,exclude,E1,This book chapter covers multimedia content analysis in the encrypted domain. It has no container or cloud-native orchestration relation and no sustainability signal.,False,high
SCR-1721,EneA-FL: Energy-aware orchestration for serverless federated learning.,2024,Future Gener. Comput. Syst.,include for full text,,"Fetched abstract (OpenAlex) confirms energy-aware serverless orchestration: a containerised middleware selects federated learning worker nodes by energy budget, computing capability, and accuracy target, reporting 30 to 60 percent lower energy use than baseline client selection. The decision object is FL client selection rather than container workload placement, so full text must confirm it sits inside the core orchestration boundary, otherwise F7.",True,medium
SCR-1726,Energy-Aware Container Consolidation Based on PSO in Cloud Data Centers.,2018,CEC,include for full text,,"Fetched abstract confirms TMPSO, a two-stage particle swarm approach for energy-aware container consolidation (VM selection plus VM placement) in cloud data centers, evaluated on benchmark datasets. Meets all three core criteria, note the venue is the IEEE Congress on Evolutionary Computation 2018, a conference rather than a workshop despite the export label.",True,high
SCR-1728,Energy-Aware Dynamic Resource Allocation and Container Migration in Cloud Servers: A Co-evolution GPHH Approach.,2024,GECCO,include for full text,,"Fetched abstract confirms primary research evolving heuristics for container placement, VM placement, and container migration control to reduce energy in cloud data centers (GECCO 2024). The record flags it as a workshop paper, which I could not verify because the ACM page returned 403, so if it sits in a workshop or companion track it must be marked as such.",True,high
SCR-1729,Energy-Aware Dynamic Resource Allocation in Container-Based Clouds via Cooperative Coevolution Genetic Programming.,2023,EvoApplications@EvoStar,include for full text,,"The fetched Springer abstract confirms a cooperative coevolution genetic programming hyper-heuristic for energy-aware dynamic allocation of containers to VMs and VMs to heterogeneous PMs with a realistic energy model, meeting all three core criteria. Springer presents it as an EvoApplications 2023 conference paper, so the workshop label in the export should be checked at full text.",True,high
SCR-1738,Energy-aware Provisioning of Microservices for Serverless Edge Computing.,2023,GLOBECOM,include for full text,,"Fetched abstract (OpenAlex) confirms optimization of container states (warm versus on-demand) to minimize active-server energy in serverless edge data centers while meeting service delay targets. Containers, a provisioning decision, and an explicit energy objective make it a plausible new core candidate.",True,high
SCR-1739,Energy-Aware Resource Allocation and Container Migration in Distributed Data Centers Under Variable Energy Pricing: A Genetic Programming Hyper-Heuristic Approach.,2025,CLOUD,include for full text,,"Fetched abstract (Semantic Scholar) confirms primary research: a genetic programming hyper-heuristic concurrently evolves container allocation, VM placement, and container migration heuristics under variable location-specific energy prices. Title and abstract carry a strong energy signal, and the export marks this IEEE CLOUD 2025 paper as a workshop paper, so verify and label the venue type.",True,high
SCR-1742,Energy-Aware Scheduling for Serverless LLM Serving on Shared GPUs.,2026,CoRR,include for full text,,"Fetched abstract confirms Festina, an energy-first control plane for serverless LLM serving that coordinates request placement, GPU partitioning, and consolidation under SLOs, reporting up to 56 percent energy reduction. It is an arXiv preprint and Semantic Scholar shows no formal version as of 2026-08-30, so it is eligible only under the no-formal-version rule and must be marked as a preprint.",True,medium
SCR-1744,Energy-Aware Scheduling of a Serverless Workload in an ISA-Heterogeneous Cluster.,2024,WOSC@Middleware,include for full text,,"Fetched abstract confirms an energy-aware scheduler for serverless workloads on an ISA-heterogeneous cluster with measured energy reductions up to 15.2 percent, a plausible CORE candidate in a cloud-native platform. It is a WOSC at Middleware workshop paper and must be marked as a workshop paper.",True,high
SCR-1746,Energy-based cost model of containers provisioning on clouds.,2022,Int. J. Grid Util. Comput.,uncertain,,"The abstract could not be retrieved (the Inderscience landing page returned 403 and the Semantic Scholar record has a null abstract), so E6 still applies. The title suggests an energy cost model of container provisioning rather than a scheduling or orchestration decision, so if resolved it may fit E7 supporting evidence rather than core.",True,low
SCR-1751,Energy-Efficient and Communication-Aware Resource Allocation in Container-Based Cloud with Group Genetic Algorithm.,2023,ICSOC,include for full text,,"Fetched abstract (SpringerLink page) confirms EC-GGA, a group genetic algorithm that jointly minimizes cloud data center energy consumption and inter-microservice communication volume for resource allocation in container-based clouds. All three core elements (container platform, allocation decision, energy objective) are present.",True,high
SCR-1754,Energy Efficient Container Consolidation Method in Cloud Environment Based on Heuristic Algorithm.,2019,ICGEC,include for full text,,"Fetched Springer abstract confirms primary research: a heuristic dynamic container consolidation method that migrates and places containers to cut data center power consumption with QoS guarantees. Title shows containers, a consolidation decision, and an energy objective, and the export marks this ICGEC 2019 paper as a workshop paper, so label it accordingly.",True,high
SCR-1757,Energy-Efficient Core Allocation and Deployment for Container-Based Virtualization.,2018,ICPADS,include for full text,,"Fetched abstract confirms dynamic programming algorithms that minimize energy by deciding core allocation, operating frequency, and container-to-server deployment under SLAs in container-based IaaS. Meets all three core criteria, note ICPADS 2018 is a conference rather than a workshop despite the export label.",True,high
SCR-1758,Energy Efficient Data Migration Concerning Interoperability Using Optimized Deep Learning in Container-Based Heterogeneous Cloud Computing.,2023,Adv. Eng. Softw.,uncertain,,"The abstract could not be obtained: Semantic Scholar returns a null abstract and the Crossref record has no abstract field, so E6 applies at this stage. The title mixes energy efficiency and container-based cloud with data migration for interoperability, which may not be a scheduling or resource-orchestration decision, so the reviewer should check the publisher page directly.",True,low
SCR-1759,Energy-efficient deep reinforcement learning-based application scheduling for serverless computing environments.,2026,J. Supercomput.,include for full text,,"The fetched Springer page describes DEESched, a deep reinforcement learning based energy-efficient application scheduler for serverless environments, published in The Journal of Supercomputing. Serverless is a cloud-native platform under the locked rules, so this is a plausible new core candidate with a clear energy objective.",True,high
SCR-1761,Energy-efficient real-time multi-workflow scheduling in container-based cloud.,2025,J. Comb. Optim.,include for full text,,"Fetched abstract (SpringerLink page) confirms RMES, a heuristic energy-efficient real-time multi-workflow scheduler for container-based clouds that handles container-machine affinity constraints and reports over 19.42% energy savings at high arrival rates. Clear new core candidate.",True,high
SCR-1764,Energy Efficient Scheduling for Serverless Systems.,2024,ACSOS,include for full text,,"Fetched abstract (Semantic Scholar) confirms primary research: an energy-efficient scheduler orchestrates serverless function execution with a DVFS technique to minimize energy while meeting application performance demands. A formal ACSOS 2023 version exists, so prefer it over the arXiv preprint (2410.06695) also listed in the source URLs.",True,high
SCR-1767,Energy-Efficient Workflow Scheduling Using Container-Based Virtualization in Software-Defined Data Centers.,2020,IEEE Trans. Ind. Informatics,include for full text,,"Fetched abstract confirms an energy-efficient workflow scheduling scheme using container-based virtualization in software-defined data centers, evaluated on real traces with energy consumption among the metrics. IEEE Transactions on Industrial Informatics journal paper, a clear core candidate.",True,high
SCR-1770,Energy optimized container placement for cloud data centers: a meta-heuristic approach.,2024,J. Supercomput.,include for full text,,"The abstract could not be retrieved (Springer page redirects to a login gateway, Semantic Scholar and Crossref both lack the abstract), but the title alone shows a container placement decision for cloud data centers with an explicit energy optimization objective in a formal journal (The Journal of Supercomputing). All three CORE title elements are present, so full-text screening should verify the sustainability signal.",True,medium
SCR-1774,EnergyLess: An Energy-Aware Serverless Workflow Batch Orchestration on the Computing Continuum.,2025,CLOUD,include for full text,,"The Semantic Scholar record confirms EnergyLess is a multi-objective serverless workflow batch orchestration service that optimizes energy, carbon footprint, cost, and completion time across cloud and edge resources, a strong core candidate. Semantic Scholar lists the venue as IEEE International Conference on Cloud Computing 2025, and the export's workshop label should be verified at full text.",True,high
SCR-1775,EneX: An Energy-Aware Execution Scheduler for Serverless Computing.,2024,IEEE Trans. Ind. Informatics,include for full text,,"Fetched abstract (OpenAlex) confirms EneX, an energy-aware online scheduler that minimizes energy for executing chains of serverless functions under deadlines, published in IEEE TII. Serverless platform, scheduling decision, and energy objective are all present, and full text should confirm the container-level execution model.",True,high
SCR-1778,Enhanced centroid-based energy-efficient clustering routing protocol for serverless based wireless sensor networks.,2024,J. King Saud Univ. Comput. Inf. Sci.,exclude,E1,"Fetched abstract (Semantic Scholar) confirms a clustering routing protocol for serverless wireless sensor networks, where serverless denotes a WSN architecture without a central server, not a software container or cloud-native platform. The intervention is sensor-node routing and cluster head selection, so E1 applies despite the energy-efficiency wording.",True,high
SCR-1796,EnLoB: Energy and Load Balancing-Driven Container Placement Strategy for Data Centers.,2019,GLOBECOM Workshops,include for full text,,"Fetched abstract confirms a multi-objective container placement strategy that minimizes data-center energy consumption while balancing load, evaluated on PlanetLab traces. Genuine workshop paper (IEEE GLOBECOM Workshops 2019), eligible but must be marked as a workshop paper.",True,high
SCR-2004,Forecasting the Energy Consumption of Cloud Data Centers Based on Container Placement with Ant Colony Optimization and Bin Packing.,2022,CIoT,include for full text,,"Fetched abstract confirms a primary simulation study comparing First Fit Decreasing and Ant Colony Optimization container placement for minimizing cloud data center energy in CloudSim. Container, placement decision, and energy signal are all explicit, though full text must judge technical depth, and the record flags it as a workshop paper (CIoT 2022) which would need marking.",True,medium
SCR-2141,Green container liner slot allocation optimization considering carbon insetting.,2025,Adv. Eng. Informatics,exclude,E1,"Container liner slot allocation with carbon insetting concerns maritime shipping capacity planning, not software containers. E1 under the locked non-software container rule.",False,high
SCR-2205,Hopes and Hurdles: Containerizing a Research Data Workflow with Globus and Docker Compose,2024,Practice and Experience in Advanced Research Computing 2024: Human Powered Computing,exclude,E3,"The abstract could not be retrieved (ACM landing page returned 403, OpenAlex and Crossref list no abstract), but the title is decisive: an experience report on containerizing a research data workflow with Globus and Docker Compose. The title carries no sustainability signal and no scheduling decision, so it cannot meet the new core title rule.",True,medium
SCR-2238,HSAACE: Design a Cloud Platform Health Status Assessment Application to Support Continuous Evolution of Assessment Capabilities,2022,Proceedings of the 2022 5th International Conference on Software Engineering and Information Management,exclude,E2,"Fetched abstract (Semantic Scholar) confirms a cloud platform health status assessment application for operation and maintenance, with no scheduling or resource-orchestration decision. It also carries no sustainability signal, but the primary failure is the missing orchestration decision.",True,high
SCR-2456,"Integrated internal truck, yard crane and quay crane scheduling in a container terminal considering energy consumption.",2015,Expert Syst. Appl.,exclude,E1,"Truck, yard crane, and quay crane scheduling at a physical shipping container terminal, a non-software use of the word container. E1 by the locked rule even though energy consumption is considered.",False,high
SCR-2607,Kubernetes and the New Cloud,2018,Proceedings of the 2018 International Conference on Management of Data,exclude,E4,"The Crossref record confirms a one-page item (pages 1-1) in the SIGMOD 2018 proceedings with no abstract, consistent with an invited talk abstract rather than primary research. The title also carries no sustainability signal, and a one-page talk abstract cannot support the core synthesis.",True,high
SCR-2695,LMP-Opt: A simulation-based hybrid model for dynamic job scheduling and energy optimization in serverless computing.,2026,Simul. Model. Pract. Theory,include for full text,,"The title alone shows a serverless computing platform, dynamic job scheduling, and energy optimization, so all three core criteria are plausibly met, but the abstract could not be retrieved (Elsevier linking page is script-only, Semantic Scholar and Crossref both lack an abstract). Full text should verify the sustainability signal and that it is primary research.",True,medium
SCR-2709,LowCarb: Carbon-Aware Scheduling of Serverless Functions.,2026,HPCA,include for full text,,"Fetched abstract (OpenAlex) confirms LowCarb, a reinforcement learning scheduler that co-optimizes serverless function performance and carbon footprint, reaching within 15% of optimality. Direct carbon-aware scheduling on a cloud-native platform makes this a strong new core candidate, and the reviewer should verify whether the HPCA 2026 record is a main conference or workshop paper since the export labels it workshop.",True,high
SCR-2743,MAPER: mobility-aware energy-efficient container registry migrations for edge computing infrastructures.,2025,J. Supercomput.,include for full text,,"Fetched Springer abstract confirms primary research: MAPER dynamically relocates container registries under user mobility in edge infrastructures to cut provisioning time and energy consumption (reported 12.69 percent energy reduction in simulation). The decision object is registry placement rather than workload scheduling, so full text must confirm it falls inside the core orchestration boundary, otherwise F7.",True,medium
SCR-2869,Modeling and Solution of Joint Storage Space Allocation and Handling Operation for Outbound Containers in Rail-Water Intermodal Container Terminals.,2019,IEEE Access,exclude,E1,"Storage space allocation and handling operations for outbound containers at rail-water intermodal shipping terminals, a non-software use of the word container. E1 by the locked rule.",False,high
SCR-3102,Optimization for multi-resource integrated scheduling in the automated container terminal with a parallel layout considering energy-saving.,2024,Adv. Eng. Informatics,exclude,E1,Multi-resource integrated scheduling in an automated maritime container terminal is a non-software use of the word container. No software container or cloud-native orchestration relation exists.,False,high
SCR-3255,Power aware container placement in cloud computing with affinity and cubic power model.,2025,Computing,include for full text,,"The fetched Springer abstract confirms power-aware placement of containerized applications on heterogeneous machines with a cubic electricity cost model and affinity constraints, meeting the container, orchestration decision, and energy criteria. A formal journal version in Computing (2025) exists, so it is preferred over the linked arXiv preprint.",True,high
SCR-3258,Power prediction and energy aware placement of containers over virtual machines.,2026,Comput. Commun.,include for full text,,"Fetched abstract (OpenAlex) confirms ML-based power prediction (XGBoost, reported R2 of 91.2%) driving energy-aware placement of containers over virtual machines, with about 3% energy reduction in a 5G edge testbed. Container placement decision plus explicit energy objective, a plausible new core candidate.",True,high
SCR-3327,Proposal of a multi-agent model for the sustainable truck scheduling and containers grouping problem in a Road-Rail physical internet hub.,2020,Int. J. Prod. Res.,exclude,E1,The title alone shows sustainable truck scheduling and grouping of physical containers in a road-rail physical internet hub. The locked rule assigns non-software uses of container to E1 despite the sustainability wording.,False,high
SCR-3330,Prospect-theoretic DRL Approach for Container Provisioning in Energy-constrained Edge Platforms.,2023,VTC2023-Spring,include for full text,,"Fetched abstract confirms a prospect-theoretic DRL scheme for offloading and container provisioning in multi-access edge computing, with a cost function balancing energy consumption against QoS under latency constraints. Meets the three title criteria, but the offloading-centric MEC framing carries F7 risk at full text.",True,medium
SCR-3345,Public Sector Sustainable Energy Scheduler - A Blockchain and IoT Integrated System.,2024,CoRR,exclude,E1,"Fetched arXiv abstract shows a blockchain and IoT system scheduling heat pump operation in public buildings under carbon and renewable signals. It has a sustainability objective but no software container or cloud-native orchestration relation, and it is a preprint besides.",True,high
SCR-3364,Quay crane scheduling in automated container terminal for the trade-off between operation efficiency and energy consumption.,2021,Adv. Eng. Informatics,exclude,E1,"Quay crane scheduling in an automated container terminal is a seaport shipping setting, so E1 applies despite the energy consumption trade-off in the title.",False,high
SCR-3376,RAEF: Energy-efficient Resource Allocation through Energy Fungibility in Serverless.,2021,ICPADS,include for full text,,"Fetched abstract (OpenAlex) confirms RAEF, a function-level resource allocator that exploits energy fungibility to minimize serverless energy consumption under latency SLAs. Serverless resource allocation with an explicit energy objective, a plausible new core candidate.",True,high
SCR-3398,Real-time AGV scheduling optimisation method with deep reinforcement learning for energy-efficiency in the container terminal yard.,2024,Int. J. Prod. Res.,exclude,E1,"The title alone shows AGV scheduling in a physical container terminal yard, a port logistics setting. The locked rule assigns non-software uses of container to E1 despite the energy-efficiency wording.",False,high
SCR-3443,REPFS: Reliability-Ensured Personalized Function Scheduling in Sustainable Serverless Edge Computing.,2024,IEEE Trans. Sustain. Comput.,include for full text,,"Fetched abstract confirms primary research on function scheduling in sustainable serverless edge computing (IEEE Transactions on Sustainable Computing 2024), jointly considering energy, reliability, and QoE via NSGA-II based policies. The optimization targets provider profit and user QoE with energy as one factor, so the strength of the sustainability objective needs full-text confirmation.",True,medium
SCR-3540,Research Review of Cloud Computing Technology Based on Big Data,2022,"Proceedings of the 3rd Asia-Pacific Conference on Image Processing, Electronics and Computers",exclude,E4,"The title identifies the record as a research review of cloud computing technology, and reviews stay outside the core intervention synthesis. The title also shows no scheduling decision and no sustainability signal.",False,high
SCR-3545,Resource Allocation and Pricing in Energy Harvesting Serverless Computing Internet of Things Networks.,2024,Inf.,exclude,E7,"The fetched abstract shows a Stackelberg pricing game between energy-harvesting edge servers and budget-limited mobile users in a serverless IoT network, an economic mechanism rather than a container orchestration or scheduler design, so it is outside the core boundary. Renewable-powered serverless context could still support background discussion, hence E7.",True,medium
SCR-3656,Schedule design for sustainable container supply chain networks with port time windows.,2015,Adv. Eng. Informatics,exclude,E1,"This is maritime logistics research: schedule design for container supply chain networks with port time windows. It is a non-software use of the word container, which is E1 under the locked rules.",False,high
SCR-3661,Scheduling optimization of yard cranes with minimal energy consumption at container terminals.,2017,Comput. Ind. Eng.,exclude,E1,The title alone shows yard crane scheduling at physical container terminals. The locked rule assigns non-software uses of container to E1 despite the energy consumption objective.,False,high
SCR-3810,Situation recognition using multimodal data,2017,Frontiers of Multimedia Research,exclude,E1,"A book chapter on situation recognition from multimodal data in Frontiers of Multimedia Research, with no container or cloud-native orchestration relation and no sustainability signal. No fetch needed, the title and venue are decisive.",False,high
SCR-3844,Snatch: Opportunistically reassigning power allocation between processor and memory in 3D stacks.,2016,MICRO,exclude,E1,"The title describes hardware-level power reallocation between processor and memory in 3D-stacked chips (MICRO 2016), with no software container or cloud-native orchestration relation. Chip-level power management is too far from container orchestration to serve even as E7 supporting evidence.",False,high
SCR-3852,Social-sensed multimedia computing,2017,Frontiers of Multimedia Research,exclude,E1,"A multimedia computing book chapter with no container, scheduling, or sustainability relation. Decidable from the title and venue alone.",False,high
SCR-3910,Stowage Plan Based Slot Optimal Allocation in Rail-Water Container Terminal.,2017,J. Control. Sci. Eng.,exclude,E1,"This paper addresses stowage planning and slot allocation in a rail-water shipping container terminal, a physical logistics problem. Non-software use of the word container, E1 under the locked rules.",False,high
