screening_id,title,year,prior_suggestion,verified_venue,venue_tier,peer_reviewed,venue_verdict,reason,evidence_url
SCR-0594,An Energy-Efficient Scheduling Method for Real-Time Multi-workflow in Container Cloud.,2023,uncertain promoted to full text,"Combinatorial Optimization and Applications, 16th International Conference (COCOA 2023), Springer LNCS, Hawaii, Dec 2023",B,True,keep,Established international combinatorial optimization conference series with peer-reviewed Springer LNCS proceedings since 2007.,https://api.crossref.org/works/10.1007/978-3-031-49611-0_12
SCR-1121,Comparative experimental analysis of the quality-of-service and energy-efficiency of VMs and containers' conso,2017,uncertain promoted to full text,"SoftCOM 2017, 25th International Conference on Software, Telecommunications and Computer Networks, IEEE Xplore, Split, Croatia",B,True,keep,Long-running (25th edition) IEEE ComSoc technically co-sponsored conference indexed in IEEE Xplore with a documented review process (104 of 211 papers accepted).,https://ccis.hr/home/conferences/softcom-2017/
SCR-1534,DockerCap: A Software-Level Power Capping Orchestrator for Docker Containers.,2016,uncertain promoted to full text,"2016 IEEE 19th International Conference on Computational Science and Engineering (CSE) / IEEE 14th International Conference on Embedded and Ubiquitous Computing (EUC) / 15th International Symposium on Distributed Computing and Applications for Business Engineering (DCABES), joint IEEE proceedings",B,True,keep,"Crossref confirms IEEE-published proceedings of the long-running CSE and EUC conference series, established peer-reviewed IEEE venues at mid tier rather than flagship.",https://doi.org/10.1109/CSE-EUC-DCABES.2016.166
SCR-1599,EcoKube: Simulating Carbon-Aware Scheduling Policies in Heterogeneous Edge–Cloud Environments,2026,new core candidate: include/enabling,"Proceedings of the 4th International Workshop on Testing Distributed Internet of Things Systems (TDIS '26), co-located with EuroSys 2026, ACM",B,True,keep,"Crossref confirms an ACM-published workshop co-located with EuroSys, which qualifies as a recognized workshop track at an A venue.",https://doi.org/10.1145/3802513.3803486
SCR-1726,Energy-Aware Container Consolidation Based on PSO in Cloud Data Centers.,2018,uncertain promoted to full text,"2018 IEEE Congress on Evolutionary Computation (CEC), IEEE, Rio de Janeiro, July 2018",B,True,keep,IEEE CEC is a reputable flagship evolutionary computation conference and is explicitly listed as a B venue in the grading rubric.,https://api.crossref.org/works/10.1109/cec.2018.8477708
SCR-1728,Energy-Aware Dynamic Resource Allocation and Container Migration in Cloud Servers: A Co-evolution GPHH Approac,2024,uncertain promoted to full text,"GECCO 2024, Genetic and Evolutionary Computation Conference, ACM, main proceedings",B,True,keep,"Confirmed in the ACM GECCO 2024 main proceedings (DOI 10.1145/3638529.3654070), a conference explicitly listed as B tier.",https://dblp.org/rec/conf/gecco/FalloonMC24.html
SCR-1729,Energy-Aware Dynamic Resource Allocation in Container-Based Clouds via Cooperative Coevolution Genetic Program,2023,uncertain promoted to full text,"EvoApplications 2023, 26th International Conference on the Applications of Evolutionary Computation (part of EvoStar), Springer LNCS, Brno, April 2023",B,True,keep,"Crossref confirms the long-running EvoStar conference EvoApplications with Springer LNCS proceedings, a recognized peer-reviewed evolutionary computation venue comparable to GECCO and CEC tier.",https://api.crossref.org/works/10.1007/978-3-031-30229-9_35
SCR-1738,Energy-aware Provisioning of Microservices for Serverless Edge Computing.,2023,uncertain promoted to full text,"GLOBECOM 2023, IEEE Global Communications Conference, Kuala Lumpur, IEEE",B,True,keep,"Crossref confirms the paper appeared in the IEEE GLOBECOM 2023 proceedings, a venue explicitly listed in the B tier.",https://doi.org/10.1109/GLOBECOM54140.2023.10437798
SCR-1739,Energy-Aware Resource Allocation and Container Migration in Distributed Data Centers Under Variable Energy Pri,2025,uncertain promoted to full text,"2025 IEEE 18th International Conference on Cloud Computing (CLOUD 2025), IEEE, part of the IEEE World Congress on Services",B,True,keep,"IEEE CLOUD is an established, solidly peer-reviewed IEEE conference, and the paper is confirmed in the CLOUD 2025 program as a regular paper.",https://services.conferences.computer.org/2025/cloud-program/
SCR-1744,Energy-Aware Scheduling of a Serverless Workload in an ISA-Heterogeneous Cluster.,2024,uncertain promoted to full text,"Proceedings of the 10th International Workshop on Serverless Computing (WoSC10 '24), co-located with ACM/IFIP Middleware 2024, ACM, Hong Kong, 2024",B,True,keep,"Recognized long-running serverless workshop at Middleware, an A-tier venue, with ACM proceedings.",https://api.crossref.org/works/10.1145/3702634.3702954
SCR-1751,Energy-Efficient and Communication-Aware Resource Allocation in Container-Based Cloud with Group Genetic Algor,2023,uncertain promoted to full text,"ICSOC 2023, 21st International Conference on Service-Oriented Computing, Springer LNCS (ISBN 978-3-031-48421-6), Part I",B,True,keep,"Confirmed as an ICSOC 2023 Springer LNCS proceedings paper (pages 212-226), a reputable conference explicitly listed as B tier.",https://dblp.org/rec/conf/icsoc/FangMCH23.html
SCR-1757,Energy-Efficient Core Allocation and Deployment for Container-Based Virtualization.,2018,uncertain promoted to full text,"2018 IEEE 24th International Conference on Parallel and Distributed Systems (ICPADS), Singapore, IEEE",B,True,keep,"Crossref confirms IEEE ICPADS 2018 proceedings, a venue explicitly listed in the B tier, and the padsw DOI prefix is just IEEE's identifier for that edition.",https://doi.org/10.1109/PADSW.2018.8644537
SCR-1759,Energy-efficient deep reinforcement learning-based application scheduling for serverless computing environment,2026,uncertain promoted to full text,"The Journal of Supercomputing, Springer, journal article (2026)",B,True,keep,"The Journal of Supercomputing is a long-established peer-reviewed Springer journal, confirmed by the 10.1007/s11227 DOI and the DBLP journals/tjs key.",https://doi.org/10.1007/s11227-026-08349-0
SCR-1761,Energy-efficient real-time multi-workflow scheduling in container-based cloud.,2025,uncertain promoted to full text,"Journal of Combinatorial Optimization, volume 49, Springer, journal article (verified via Crossref)",B,True,keep,Established Springer journal (published since 1997) with rigorous peer review in optimization.,https://doi.org/10.1007/s10878-025-01265-8
SCR-1764,Energy Efficient Scheduling for Serverless Systems.,2024,uncertain promoted to full text,"2023 IEEE International Conference on Autonomic Computing and Self-Organizing Systems (ACSOS 2023), IEEE, Toronto, Sept 2023 (metadata year 2024 reflects the later arXiv posting)",B,True,keep,ACSOS is the solid IEEE successor of ICAC and SASO with full peer review and IEEE proceedings.,https://api.crossref.org/works/10.1109/acsos58161.2023.00020
SCR-1770,Energy optimized container placement for cloud data centers: a meta-heuristic approach.,2024,uncertain promoted to full text,"The Journal of Supercomputing, Springer, journal, volume 80 (2024)",B,True,keep,Crossref confirms an established peer-reviewed Springer journal in high-performance and distributed computing.,https://api.crossref.org/works/10.1007/s11227-023-05462-2
SCR-1774,EnergyLess: An Energy-Aware Serverless Workflow Batch Orchestration on the Computing Continuum.,2025,uncertain promoted to full text,"2025 IEEE 18th International Conference on Cloud Computing (CLOUD), Helsinki, IEEE",B,True,keep,"Crossref confirms the 18th edition of IEEE CLOUD, an established peer-reviewed IEEE conference series on cloud computing.",https://doi.org/10.1109/CLOUD67622.2025.00033
SCR-1796,EnLoB: Energy and Load Balancing-Driven Container Placement Strategy for Data Centers.,2019,uncertain promoted to full text,"2019 IEEE Globecom Workshops (GC Wkshps), Waikoloa, Hawaii, IEEE, proceedings article (verified via Crossref)",B,True,keep,"Official peer-reviewed workshop program of IEEE GLOBECOM, a recognized workshop track at an established IEEE flagship communications conference.",https://doi.org/10.1109/gcwkshps45667.2019.9024592
SCR-2144,Green Video Transcoding in Cloud Environments Using Kubernetes: A Framework With Dynamic Renewable Energy Allo,2025,new core candidate: include/core intervention,"IEEE Access, IEEE, vol. 13 (2025), open access mega-journal",B,True,keep,"IEEE Access is a legitimate peer-reviewed IEEE journal, confirmed on IEEE Xplore and DBLP journals/access, though a mega-journal below transactions level.",https://ieeexplore.ieee.org/document/11071283
SCR-2147,GreenKube: Towards Greener Container Orchestration using Artificial Intelligence,2023,new core candidate: uncertain/core intervention,"2023 IEEE International Conference on Service-Oriented System Engineering (SOSE 2023), Athens, Greece, IEEE, proceedings article (verified via Crossref)",B,True,keep,IEEE SOSE is an established peer-reviewed IEEE conference series on service-oriented systems running since 2005.,https://doi.org/10.1109/sose58276.2023.00023
SCR-2616,Kubernetes Scheduling for Green-Powered Microgrid Data Centers,2026,new core candidate: uncertain/core intervention,"Energy Informatics, 5th Energy Informatics Academy Conference (EI.A 2025), Springer LNCS, Kuala Lumpur, Dec 2025, published 2026",B,True,keep,"EI.A is a recognized peer-reviewed conference of the Energy Informatics Academy community with Springer LNCS proceedings, comparable to the rubric's energy-focused B venues.",https://api.crossref.org/works/10.1007/978-3-032-19134-2_19
SCR-2695,LMP-Opt: A simulation-based hybrid model for dynamic job scheduling and energy optimization in serverless comp,2026,uncertain promoted to full text,"Simulation Modelling Practice and Theory, Elsevier BV, journal, volume 146, 2026",B,True,keep,"Crossref confirms publication in Elsevier's Simulation Modelling Practice and Theory, volume 146, 2026, an established peer-reviewed journal.",https://api.crossref.org/works/10.1016/j.simpat.2025.103227
SCR-2743,MAPER: mobility-aware energy-efficient container registry migrations for edge computing infrastructures.,2025,uncertain promoted to full text,"The Journal of Supercomputing, Springer, volume 81 (2025)",B,True,keep,"DOI resolves to The Journal of Supercomputing, an established peer-reviewed Springer journal fitting the B tier definition.",https://doi.org/10.1007/s11227-024-06516-9
SCR-3255,Power aware container placement in cloud computing with affinity and cubic power model.,2025,uncertain promoted to full text,"Computing, Springer, journal article (2025)",B,True,keep,"Springer Computing is an established peer-reviewed journal named in the B examples, confirmed by the 10.1007/s00607 DOI and the DBLP journals/computing key.",https://doi.org/10.1007/s00607-025-01566-0
SCR-3258,Power prediction and energy aware placement of containers over virtual machines.,2026,uncertain promoted to full text,"Computer Communications, volume 248, Elsevier, journal article (verified via Crossref)",B,True,keep,"Computer Communications is a long-running, well-regarded Elsevier networking journal with solid peer review.",https://doi.org/10.1016/j.comcom.2025.108340
SCR-3330,Prospect-theoretic DRL Approach for Container Provisioning in Energy-constrained Edge Platforms.,2023,uncertain promoted to full text,"2023 IEEE 97th Vehicular Technology Conference (VTC2023-Spring), IEEE, Florence, June 2023",B,True,keep,IEEE VTC is a long-running reputable IEEE Vehicular Technology Society flagship conference comparable to GLOBECOM in the rubric.,https://api.crossref.org/works/10.1109/vtc2023-spring57618.2023.10199508
SCR-3376,RAEF: Energy-efficient Resource Allocation through Energy Fungibility in Serverless.,2021,uncertain promoted to full text,"ICPADS 2021, 2021 IEEE 27th International Conference on Parallel and Distributed Systems, IEEE",B,True,keep,"Crossref confirms the 2021 IEEE 27th ICPADS proceedings published by IEEE, a conference explicitly listed as B tier.",https://api.crossref.org/works/10.1109/icpads53394.2021.00060
SCR-4163,Towards Carbon-Aware Container Orchestration: Predicting Workload Energy Consumption with Federated Learning.,2025,new core candidate: include/enabling,"SWC 2025, 2025 IEEE Smart World Congress (co-located IEEE UIC, ATC, Digital Twin, Metaverse, ScalCom), IEEE proceedings",B,True,keep,"Confirmed as a paper in the IEEE Smart World Congress 2025 proceedings (IEEE Xplore, DOI 10.1109/swc65939.2025.00082), a legitimate mid-tier IEEE congress built from the established UIC and ATC series.",https://arxiv.org/abs/2510.03970
SCR-4193,Towards Performance and Energy Aware Kubernetes Scheduler,2025,new core candidate: include/core intervention,"ACM SIGEnergy Energy Informatics Review, ACM, peer-reviewed SIG newsletter, volume 5 issue 2 (2025)",B,True,keep,"Crossref and the SIGENERGY site confirm EIR, an ACM SIGENERGY publication with peer-reviewed technical papers (HotCRP-managed), in the same tier as HotCarbon and LOCO.",https://api.crossref.org/works/10.1145/3757892.3757902
SCR-0172,A Framework and Algorithm for Energy Efficient Container Consolidation in Cloud Data Centers.,2015,uncertain promoted to full text,"2015 IEEE International Conference on Data Science and Data Intensive Systems (DSDIS 2015), IEEE, Sydney, December 2015",C,True,drop,"DSDIS was a one-edition IEEE conference with very low visibility, real Xplore proceedings but not an established venue.",https://ieeexplore.ieee.org/document/7396528/
SCR-0929,Carbon Aware Container Scheduler,2026,new core candidate: uncertain/core intervention,"2026 IEEE International Conference for Convergence in Computing Technology (I3CTCON), Lonavala, India, IEEE, proceedings article (verified via Crossref and IEEE Xplore)",C,True,drop,"Low-visibility regional Indian conference recruiting through mass Scopus-indexing CFP emails with a roughly 10-day review turnaround, weak despite IEEE Xplore publication.",https://doi.org/10.1109/i3ctcon68242.2026.11508034
SCR-0931,Carbon-Aware Microservices Scheduling: Machine Learning for Sustainable Cloud-Native Applications,2025,new core candidate: uncertain/core intervention,"2025 4th International Conference on Applied Artificial Intelligence and Computing (ICAAIC 2025), IEEE, Salem, India",C,True,drop,ICAAIC belongs to a high-volume Indian conference cluster with weak review reputation and low scholarly standing despite IEEE Xplore indexing.,https://api.crossref.org/works/10.1109/icaaic64647.2025.11331008
SCR-0933,Carbon-Kube: A Kubernetes-Native Framework for Multi-Objective Carbon-Aware Scheduling of Big Data Pipelines,2026,new core candidate: uncertain/core intervention,"IEMENTech 2026, 9th International Conference on Electronics, Materials Engineering and Nano-Technology, IEM Kolkata with IEEE Kolkata Section technical co-sponsorship",C,True,drop,"Low-visibility local conference run by a single institute (IEM Kolkata) with only regional IEEE section co-sponsorship, and its electronics and nano-technology scope does not match a container scheduling paper, signaling weak review scope.",https://iementech.iem.edu.in/conferences/
SCR-1182,Container Orchestration in Edge Computing with Fluctuating Green Energy: A Multi-armed Bandit Approach,2026,new core candidate: include/core intervention,"UCAmI 2025, 17th International Conference on Ubiquitous Computing and Ambient Intelligence, Florence, Nov 2025, Springer Lecture Notes in Networks and Systems, published 2026",C,True,drop,"Crossref confirms UCAmI in the Springer LNNS series, a peer-reviewed but CORE-unranked, low-visibility conference proceedings that falls below the keep bar.",https://api.crossref.org/works/10.1007/978-3-032-16995-2_12
SCR-1742,Energy-Aware Scheduling for Serverless LLM Serving on Shared GPUs.,2026,uncertain promoted to full text,"arXiv preprint 2606.30391 (cs.DC), no formal publication venue found",C,False,drop,arXiv-only preprint with no peer-reviewed venue found by DOI or web search as of 2026-08-30.,https://arxiv.org/abs/2606.30391
SCR-1754,Energy Efficient Container Consolidation Method in Cloud Environment Based on Heuristic Algorithm.,2019,uncertain promoted to full text,"ICGEC 2019, 13th International Conference on Genetic and Evolutionary Computing, Qingdao, Springer Advances in Intelligent Systems and Computing (AISC), published 2020",C,True,drop,"Crossref confirms a low-visibility regional conference published in the weak Springer AISC proceedings series, below the reliability bar for a systematic survey.",https://api.crossref.org/works/10.1007/978-981-15-3308-2_5
SCR-2004,Forecasting the Energy Consumption of Cloud Data Centers Based on Container Placement with Ant Colony Optimiza,2022,uncertain promoted to full text,"2022 5th Conference on Cloud and Internet of Things (CIoT 2022), IEEE technical co-sponsorship, Marrakech, March 2022",C,True,drop,"Small DNAC-organized series with only IEEE technical co-sponsorship and very low visibility, below the solid-venue bar.",https://api.crossref.org/works/10.1109/ciot53061.2022.9766522
SCR-0914,CAKS: a real-time carbon-aware Kubernetes scheduler for heterogeneous cloud environments,2026,new core candidate: include/core intervention,"International Journal of Advanced Technology and Engineering Exploration (IJATEE), ACCENTS Social and Welfare Society, India, monthly open access journal",D,False,drop,"IJATEE is an IJournal-style pay-to-publish outlet from a low-visibility publisher, Scopus-indexed with SJR 0.248 but far below journal-grade standards for a survey.",https://accentsjournals.org/journals1.php?journalsId=110
